BezNr;BSN;Schulname;StNr;BauwerkNr;MaßnahmeNr;Leistungsart;Standardleistung;Prio;Menge;Einheit;Mengenfaktor;Preisfaktor;Gesamtkosten;Finanzierung;Ignorieren;Bemerkung SenBJW;Unterpriorisierung durch FM Bau BA MarzHell für Maßnahmenumsetzung
10;10G01;Paavo-Nurmi-Grundschule;10G01-01;10G01-01-C;10G01-01-C-016;Sanitärsanierung;Sanitärbereich;1;87,75;m²;1;1;193.050,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;A
10;10G03;Selma-Lagerlöf-Grundschule;10G03-01;10G03-01-B;10G03-01-B-005;Komplettsanierung Sporthalle(n);Sporthalle 22mx44m;1;1;Stk;1;1;1.800.000,00 €;;FALSCH;;A
10;10G04;Falken-Grundschule;10G04-01;10G04-01-B;10G04-01-B-010;Komplettsanierung Sporthalle(n);Sporthalle 22mx44m;1;1;Stk;1;1;1.800.000,00 €;;FALSCH;;A
10;10G05;Ebereschen-Grundschule;10G05-01;10G05-01-A;10G05-01-A-001;Fenster ersetzen;Fenster (alle außer Kastenfenster);1;601,5;m²;1;1;421.050,00 €;;FALSCH;;C
10;10G05;Ebereschen-Grundschule;10G05-01;10G05-01-A;10G05-01-A-002;Fassade sanieren;Fassade (einfach);1;1617,7;m²;1;1;242.655,00 €;;FALSCH;;C
10;10G05;Ebereschen-Grundschule;10G05-01;10G05-01-A;10G05-01-A-003;Dach sanieren;Flachdach;1;1067;m²;1;1;160.050,00 €;;FALSCH;;C
10;10G05;Ebereschen-Grundschule;10G05-01;10G05-01-A;10G05-01-A-004;Barrierefreiheit schaffen;Eingangsbereiche umbauen;1;1;Stk;1;1;50.000,00 €;;FALSCH;;C
10;10G05;Ebereschen-Grundschule;10G05-01;10G05-01-A;10G05-01-A-006;Zweiter Rettungsweg;Zweiter Rettungsweg errichten mittel;1;2;Stk;1;1;400.000,00 €;;FALSCH;;C
10;10G05;Ebereschen-Grundschule;10G05-01;10G05-01-A;10G05-01-A-007;Raumsanierung;Grundschulraum;1;4158,68;m²;0,5;1;727.769,00 €;;FALSCH;;C
10;10G08;Wilhelm-Busch-Grundschule;10G08-01;10G08-01-HOF;10G08-01-HOF-009;Schulhofsanierung;Schulhof 90% verschlissen;1;18028;m²;0,034390947;1;93.000,00 €;;FALSCH;reduziert um 6000 m² (Finanzierung Stadtumbau Ost in 2017);B
10;10G08;Wilhelm-Busch-Grundschule;10G08-03;10G08-03-D;10G08-03-D-008;Komplettsanierung Sporthalle(n);Sporthalle 27mx45m;1;1;Stk;1;1;2.100.000,00 €;;FALSCH;;A
10;10G09;Grundschule am Bürgerpark;10G09-01;10G09-01-A;10G09-01-A-001;Fenster ersetzen;Fenster (alle außer Kastenfenster);1;1039,9;m²;1;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G09;Grundschule am Bürgerpark;10G09-01;10G09-01-A;10G09-01-A-002;Fassade sanieren;Fassade (einfach);1;1782,43;m²;1;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G09;Grundschule am Bürgerpark;10G09-01;10G09-01-A;10G09-01-A-003;Dach sanieren;Flachdach;1;774,3;m²;1;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G09;Grundschule am Bürgerpark;10G09-01;10G09-01-A;10G09-01-A-004;Barrierefreiheit schaffen;Aufzugsanlage einbauen;1;1;Stk;1;1,14285714285714;0,00 €;F;WAHR;I-Maßnahme;_
10;10G09;Grundschule am Bürgerpark;10G09-01;10G09-01-A;10G09-01-A-005;Barrierefreiheit schaffen;Rampe errichten;1;1;Stk;1;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G09;Grundschule am Bürgerpark;10G09-01;10G09-01-A;10G09-01-A-006;Barrierefreiheit schaffen;Eingangsbereiche umbauen;1;2;Stk;1;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G09;Grundschule am Bürgerpark;10G09-01;10G09-01-A;10G09-01-A-007;Barrierefreiheit schaffen;Tür behindertengerecht umbauen (20/Gebäude);1;128;Stk;0,15625;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G09;Grundschule am Bürgerpark;10G09-01;10G09-01-A;10G09-01-A-008;Barrierefreiheit schaffen;WC behindertengerecht umbauen (4/Gebäude);1;4;Stk;1;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G09;Grundschule am Bürgerpark;10G09-01;10G09-01-A;10G09-01-A-009;Zweiter Rettungsweg;Zweiter Rettungsweg errichten mittel;1;2;Stk;1;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G09;Grundschule am Bürgerpark;10G09-01;10G09-01-A;10G09-01-A-010;Raumsanierung;Grundschulraum;1;3851,86;m²;1;1;0,00 €;F;WAHR;SIWA Berücksichtung;_
10;10G09;Grundschule am Bürgerpark;10G09-01;10G09-01-A;10G09-01-A-011;Sanitärsanierung;Sanitärbereich;1;265,2;m²;1;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G10;Peter-Pan-Grundschule;10G10-01;10G10-01-C;10G10-01-C-002;Fenster ersetzen;Fenster (alle außer Kastenfenster);1;131,35;m²;1;1;91.945,00 €;;FALSCH;"Wirtschaftlichkeitsuntersuchung erforderlich;";B
10;10G10;Peter-Pan-Grundschule;10G10-01;10G10-01-C;10G10-01-C-005;Dach sanieren;Flachdach;1;560;m²;1;1;84.000,00 €;;FALSCH;"Wirtschaftlichkeitsuntersuchung erforderlich;";B
10;10G10;Peter-Pan-Grundschule;10G10-01;10G10-01-C;10G10-01-C-012;Zweiter Rettungsweg;Zweiter Rettungsweg errichten klein;1;1;Stk;1;1;150.000,00 €;;FALSCH;"Wirtschaftlichkeitsuntersuchung erforderlich;";B
10;10G10;Peter-Pan-Grundschule;10G10-01;10G10-01-C;10G10-01-C-014;Raumsanierung;Grundschulraum;1;1123,8;m²;1;1;393.330,00 €;;FALSCH;"Wirtschaftlichkeitsuntersuchung erforderlich;";B
10;10G10;Peter-Pan-Grundschule;10G10-02;10G10-02-A;10G10-02-A-001;Fenster ersetzen;Fenster (alle außer Kastenfenster);1;1039,9;m²;1;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G10;Peter-Pan-Grundschule;10G10-02;10G10-02-A;10G10-02-A-003;Fassade sanieren;Fassade (einfach);1;1782,43;m²;1;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G10;Peter-Pan-Grundschule;10G10-02;10G10-02-A;10G10-02-A-004;Dach sanieren;Flachdach;1;774,3;m²;1;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G10;Peter-Pan-Grundschule;10G10-02;10G10-02-A;10G10-02-A-006;Barrierefreiheit schaffen;Aufzugsanlage einbauen;1;1;Stk;1;1,14285714285714;0,00 €;F;WAHR;I-Maßnahme;_
10;10G10;Peter-Pan-Grundschule;10G10-02;10G10-02-A;10G10-02-A-007;Barrierefreiheit schaffen;Rampe errichten;1;1;Stk;1;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G10;Peter-Pan-Grundschule;10G10-02;10G10-02-A;10G10-02-A-008;Barrierefreiheit schaffen;Eingangsbereiche umbauen;1;2;Stk;1;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G10;Peter-Pan-Grundschule;10G10-02;10G10-02-A;10G10-02-A-009;Barrierefreiheit schaffen;Tür behindertengerecht umbauen (20/Gebäude);1;128;Stk;0,15625;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G10;Peter-Pan-Grundschule;10G10-02;10G10-02-A;10G10-02-A-010;Barrierefreiheit schaffen;WC behindertengerecht umbauen (4/Gebäude);1;4;Stk;1;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G10;Peter-Pan-Grundschule;10G10-02;10G10-02-A;10G10-02-A-011;Zweiter Rettungsweg;Zweiter Rettungsweg errichten mittel;1;2;Stk;1;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G10;Peter-Pan-Grundschule;10G10-02;10G10-02-A;10G10-02-A-013;Raumsanierung;Grundschulraum;1;3914,84;m²;1;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G10;Peter-Pan-Grundschule;10G10-02;10G10-02-A;10G10-02-A-015;Sanitärsanierung;Sanitärbereich;1;265,2;m²;1;1;0,00 €;F;WAHR;I-Maßnahme;_
10;10G10;Peter-Pan-Grundschule;10G10-02;10G10-02-B;10G10-02-B-017;Komplettsanierung Sporthalle(n);Sporthalle 22mx44m;1;1;Stk;1;1;1.800.000,00 €;F;FALSCH;SSP 2016 Sanierung Sporthalle einschließlich Sanitär (1 Mio als 1. Rate) berücksichtigen;A
10;10G11;Grundschule an der Mühle;10G11-01;10G11-01-A;10G11-01-A-001;Fenster ersetzen;Fenster (alle außer Kastenfenster);1;1039,9;m²;1;1;727.930,00 €;;FALSCH;;C
10;10G11;Grundschule an der Mühle;10G11-01;10G11-01-A;10G11-01-A-002;Fassade sanieren;Fassade (Vorhangfassade);1;1782,43;m²;1;1;623.850,50 €;;FALSCH;;C
10;10G11;Grundschule an der Mühle;10G11-01;10G11-01-A;10G11-01-A-003;Dach sanieren;Flachdach;1;774,3;m²;1;1;116.145,00 €;;FALSCH;;C
10;10G11;Grundschule an der Mühle;10G11-01;10G11-01-A;10G11-01-A-004;Barrierefreiheit schaffen;Aufzugsanlage einbauen;1;1;Stk;1;1,14285714285714;200.000,00 €;;FALSCH;;C
10;10G11;Grundschule an der Mühle;10G11-01;10G11-01-A;10G11-01-A-005;Barrierefreiheit schaffen;Rampe errichten;1;1;Stk;1;1;20.000,00 €;;FALSCH;;C
10;10G11;Grundschule an der Mühle;10G11-01;10G11-01-A;10G11-01-A-006;Barrierefreiheit schaffen;Eingangsbereiche umbauen;1;2;Stk;0,5;1;50.000,00 €;;FALSCH;;C
10;10G11;Grundschule an der Mühle;10G11-01;10G11-01-A;10G11-01-A-007;Barrierefreiheit schaffen;Tür behindertengerecht umbauen (20/Gebäude);1;1;Stk;20;1;200.000,00 €;;FALSCH;;C
10;10G11;Grundschule an der Mühle;10G11-01;10G11-01-A;10G11-01-A-008;Barrierefreiheit schaffen;WC behindertengerecht umbauen (4/Gebäude);1;4;Stk;1;1;100.000,00 €;;FALSCH;;C
10;10G11;Grundschule an der Mühle;10G11-01;10G11-01-A;10G11-01-A-009;Zweiter Rettungsweg;Zweiter Rettungsweg errichten mittel;1;2;Stk;1;1;400.000,00 €;;FALSCH;;C
10;10G11;Grundschule an der Mühle;10G11-01;10G11-01-A;10G11-01-A-010;Raumsanierung;Grundschulraum;1;3945,68;m²;0,75;1;1.035.741,00 €;;FALSCH;;C
10;10G11;Grundschule an der Mühle;10G11-01;10G11-01-A;10G11-01-A-011;Sanitärsanierung;Sanitärbereich;1;265,2;m²;1;1;583.440,00 €;;FALSCH;;C
10;10G12;Grundschule an der Geißenweide;10G12-01;10G12-01-B;10G12-01-B-008;Komplettsanierung Sporthalle(n);Sporthalle 22mx44m;1;1;Stk;1;1;1.800.000,00 €;;FALSCH;;A
10;10G14;Grundschule unter dem Regenbogen;10G14-01;10G14-01-D;10G14-01-D-012;Komplettsanierung Sporthalle(n);Sporthalle 22mx44m;1;2;Stk;1;1;3.600.000,00 €;;FALSCH;;A+B
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-A;10G16-01-A-001;Fenster ersetzen;Fenster (alle außer Kastenfenster);1;96,1;m²;1;1;67.270,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;A
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-A;10G16-01-A-005;Fassade sanieren;Fassade (einfach);1;630,6;m²;1;1;94.590,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;A
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-A;10G16-01-A-009;Dach sanieren;Flachdach;1;357,5;m²;1;1;53.625,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;A
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-A;10G16-01-A-013;Barrierefreiheit schaffen;Aufzugsanlage einbauen;1;1;Stk;1;0,857142857142857;0,00 €;;WAHR;Wirtschaftlichkeitsuntersuchung erforderlich. Bei temporären Gebäude (MUR) Barrierefreiheit nur EG, keine Aufzüge.;A
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-A;10G16-01-A-014;Barrierefreiheit schaffen;Eingangsbereiche umbauen;1;1;Stk;1;1;50.000,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich. Bei temporären Gebäude (MUR) Barrierefreiheit nur EG, keine Aufzüge.;A
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-A;10G16-01-A-015;Barrierefreiheit schaffen;WC behindertengerecht umbauen (4/Gebäude);1;2;Stk;1;1;50.000,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich. Bei temporären Gebäude (MUR) Barrierefreiheit nur EG, keine Aufzüge.;A
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-A;10G16-01-A-025;Zweiter Rettungsweg;Zweiter Rettungsweg errichten klein;1;2;Stk;0,5;1;150.000,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;A
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-A;10G16-01-A-029;Raumsanierung;Grundschulraum;1;715,05;m²;1;1;250.267,50 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;A
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-A;10G16-01-A-033;Sanitärsanierung;Sanitärbereich;1;30,7;m²;1;1;67.540,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;A
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-B;10G16-01-B-002;Fenster ersetzen;Fenster (alle außer Kastenfenster);1;96,1;m²;1;1;67.270,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;B
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-B;10G16-01-B-006;Fassade sanieren;Fassade (einfach);1;630,6;m²;1;1;94.590,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;B
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-B;10G16-01-B-010;Dach sanieren;Flachdach;1;357,5;m²;1;1;53.625,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;B
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-B;10G16-01-B-016;Barrierefreiheit schaffen;Aufzugsanlage einbauen;1;1;Stk;1;0,857142857142857;0,00 €;;WAHR;Wirtschaftlichkeitsuntersuchung erforderlich. Bei temporären Gebäude (MUR) Barrierefreiheit nur EG, keine Aufzüge.;B
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-B;10G16-01-B-017;Barrierefreiheit schaffen;Eingangsbereiche umbauen;1;1;Stk;1;1;50.000,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich. Bei temporären Gebäude (MUR) Barrierefreiheit nur EG, keine Aufzüge.;B
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-B;10G16-01-B-018;Barrierefreiheit schaffen;WC behindertengerecht umbauen (4/Gebäude);1;2;Stk;1;1;50.000,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich. Bei temporären Gebäude (MUR) Barrierefreiheit nur EG, keine Aufzüge.;B
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-B;10G16-01-B-026;Zweiter Rettungsweg;Zweiter Rettungsweg errichten klein;1;2;Stk;0,5;1;150.000,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;B
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-B;10G16-01-B-030;Raumsanierung;Grundschulraum;1;715,35;m²;1;1;250.372,50 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;B
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-B;10G16-01-B-034;Sanitärsanierung;Sanitärbereich;1;30,7;m²;1;1;67.540,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;B
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-C;10G16-01-C-003;Fenster ersetzen;Fenster (alle außer Kastenfenster);1;96,1;m²;1;1;67.270,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;C
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-C;10G16-01-C-007;Fassade sanieren;Fassade (einfach);1;630,6;m²;1;1;94.590,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;C
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-C;10G16-01-C-011;Dach sanieren;Flachdach;1;357,5;m²;1;1;53.625,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;C
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-C;10G16-01-C-019;Barrierefreiheit schaffen;Aufzugsanlage einbauen;1;1;Stk;1;0,857142857142857;0,00 €;;WAHR;Wirtschaftlichkeitsuntersuchung erforderlich. Bei temporären Gebäude (MUR) Barrierefreiheit nur EG, keine Aufzüge.;C
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-C;10G16-01-C-020;Barrierefreiheit schaffen;Eingangsbereiche umbauen;1;1;Stk;1;1;50.000,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich. Bei temporären Gebäude (MUR) Barrierefreiheit nur EG, keine Aufzüge.;C
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-C;10G16-01-C-021;Barrierefreiheit schaffen;WC behindertengerecht umbauen (4/Gebäude);1;2;Stk;1;1;50.000,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich. Bei temporären Gebäude (MUR) Barrierefreiheit nur EG, keine Aufzüge.;C
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-C;10G16-01-C-027;Zweiter Rettungsweg;Zweiter Rettungsweg errichten klein;1;2;Stk;0,5;1;150.000,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;C
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-C;10G16-01-C-031;Raumsanierung;Grundschulraum;1;714,81;m²;1;1;250.183,50 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;C
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-C;10G16-01-C-035;Sanitärsanierung;Sanitärbereich;1;30,7;m²;1;1;67.540,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;C
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-D;10G16-01-D-004;Fenster ersetzen;Fenster (alle außer Kastenfenster);1;96,1;m²;1;1;67.270,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;D
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-D;10G16-01-D-008;Fassade sanieren;Fassade (einfach);1;630,6;m²;1;1;94.590,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;D
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-D;10G16-01-D-012;Dach sanieren;Flachdach;1;357,5;m²;1;1;53.625,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;D
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-D;10G16-01-D-022;Barrierefreiheit schaffen;Aufzugsanlage einbauen;1;1;Stk;1;0,857142857142857;0,00 €;;WAHR;Wirtschaftlichkeitsuntersuchung erforderlich. Bei temporären Gebäude (MUR) Barrierefreiheit nur EG, keine Aufzüge.;D
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-D;10G16-01-D-023;Barrierefreiheit schaffen;Eingangsbereiche umbauen;1;1;Stk;1;1;50.000,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich. Bei temporären Gebäude (MUR) Barrierefreiheit nur EG, keine Aufzüge.;D
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-D;10G16-01-D-024;Barrierefreiheit schaffen;WC behindertengerecht umbauen (4/Gebäude);1;2;Stk;1;1;50.000,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich. Bei temporären Gebäude (MUR) Barrierefreiheit nur EG, keine Aufzüge.;D
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-D;10G16-01-D-028;Zweiter Rettungsweg;Zweiter Rettungsweg errichten klein;1;2;Stk;0,5;1;150.000,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;D
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-D;10G16-01-D-032;Raumsanierung;Grundschulraum;1;715,15;m²;1;1;250.302,50 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;D
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-D;10G16-01-D-036;Sanitärsanierung;Sanitärbereich;1;30,7;m²;1;1;67.540,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;D
10;10G16;Grundschule am Fuchsberg;10G16-01;10G16-01-HOF;10G16-01-HOF-037;Schulhofsanierung;Schulhof 90% verschlissen;1;12736;m²;1;1;1.910.400,00 €;;FALSCH;;D
10;10G17;Beatrix-Potter-Grundschule;10G17-01;10G17-01-A;10G17-01-A-002;Fassade sanieren;Fassade (einfach);1;1617,7;m²;1;1;242.655,00 €;;FALSCH;;C
10;10G17;Beatrix-Potter-Grundschule;10G17-01;10G17-01-A;10G17-01-A-003;Dach sanieren;Flachdach;1;1067;m²;1;1;160.050,00 €;;FALSCH;;C
10;10G17;Beatrix-Potter-Grundschule;10G17-01;10G17-01-A;10G17-01-A-008;Zweiter Rettungsweg;Zweiter Rettungsweg errichten mittel;1;2;Stk;1;1;400.000,00 €;;FALSCH;;C
10;10G17;Beatrix-Potter-Grundschule;10G17-01;10G17-01-A;10G17-01-A-010;Raumsanierung;Grundschulraum;1;4156,36;m²;1;1;1.454.726,00 €;;FALSCH;;C
10;10G17;Beatrix-Potter-Grundschule;10G17-01;10G17-01-B;10G17-01-B-014;Komplettsanierung Sporthalle(n);Sporthalle 22mx44m;1;1;Stk;1;1;1.800.000,00 €;;FALSCH;;B
10;10G17;Beatrix-Potter-Grundschule;10G17-01;10G17-01-C;10G17-01-C-001;Fenster ersetzen;Fenster (alle außer Kastenfenster);1;161,77;m²;1;1;113.239,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;A
10;10G17;Beatrix-Potter-Grundschule;10G17-01;10G17-01-C;10G17-01-C-004;Dach sanieren;Flachdach;1;560;m²;1;1;84.000,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;A
10;10G17;Beatrix-Potter-Grundschule;10G17-01;10G17-01-C;10G17-01-C-009;Zweiter Rettungsweg;Zweiter Rettungsweg errichten klein;1;2;Stk;0,5;1;150.000,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;A
